Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1985,0.33,0,0,0,0,0,0,0,0,0,1.97,0.81,3.11
1986,0.63,0.5,0.68,3.12,2.05,1.1,3.02,1.91,0.18,2.5,1.4,0.68,17.77
1987,1.34,0,0,0,5.44,3.25,1.86,3.56,1.79,2.87,1.93,1.68,23.97
1988,0.86,0.35,2.34,1.1,3.97,3.12,1.07,2.65,1.12,0.08,0.36,0,17.02
1989,1.33,0.36,0.54,2.04,1.69,2.1,3.4,0,2.4,0,0,0.53,10.39
1990,0.75,0.26,4.42,0.46,1.5,0.77,4.57,3.19,1.71,0,1.02,0,18.65
1991,0.48,0,2.29,0,0,0,1.69,0,0,0,0,0,4.46
1992,0,0,4.35,0.83,0.76,3.93,1.52,3.75,0.04,0.16,2.62,1.31,17.27
1993,0.26,0.9,1.02,2.44,1.12,2.76,1.04,1.1,1.94,1.85,1.29,0.89,16.61
1994,1.2,0.58,1.62,2.79,2.56,1.38,0.14,2.87,0.71,1.27,0.36,0.07,15.55
1995,0.4,2,1.42,2.12,5.13,4.62,0.89,0.84,2.27,0.12,0.31,0,20.1
1996,0.65,0.16,1.77,1.1,2.88,1.76,0.68,1.96,2.37,0.34,0.38,0.42,14.47
1997,0.27,0.99,0.21,3.07,0.48,2.47,1.17,5.49,1.12,2.37,1.73,1.39,20.76
1998,0.03,0.59,2.01,3.69,1.26,1.7,4.92,3.38,0.25,0.73,1.23,0.63,20.42
1999,0.49,0.54,0.2,6.58,3.09,2.01,4.22,2.5,0.37,0.85,0.65,1.01,22.51
2000,0.99,0.33,2.49,1.22,1.56,0.61,1.41,3.89,2.24,0.21,0.17,0.32,15.33
2001,0.86,1.66,1.06,2.82,3.28,0.67,0.84,0,1.53,0,1.3,0.36,14.38
2002,0.86,0.5,1.3,0.01,1.16,2.8,2.16,2.35,2.36,0.88,0.12,0.01,14.51
2003,0,0.82,7.08,2.7,0.61,2.76,1.57,3.44,0.56,0.01,0.23,0.83,20.61
2004,0.79,1.22,0.41,3.38,0.54,3.72,2.7,4.25,1.62,0,0,0.49,19.12
2005,1.1,0.05,2.78,3.55,1.21,1.59,1.39,4.11,0.61,1.22,0.44,0.41,18.46
2006,0.3,0.21,0.72,0.62,0.68,1.17,4.96,4.79,1.24,2.01,0.24,0,16.94
2007,1.12,0.6,0.99,2.01,2.94,0.95,2.18,3.14,1.1,0.86,0.2,1.43,17.52
2008,1.17,0.45,0.51,0.63,1.68,0.31,0.78,4.75,1.06,0.71,0.59,0.47,13.11
2009,0.41,0.18,0.98,2.86,1.62,2.98,0,1.35,0,0,0.68,0.77,11.83
2010,0,0.75,2.57,3.46,0.41,1.5,3.28,0.77,0.05,0.34,0.41,0.24,13.78
2011,0.46,1.49,0,0.54,2.76,2.4,2.46,1.34,1.84,2.31,1.05,1.16,17.81
2012,0.35,1.42,0.1,1.76,1.57,3.61,3.88,0.53,0.69,0.56,0.01,0.48,14.96
2013,0.15,0.98,0.99,0,0,0,1.56,3.83,6.45,0,0.13,0.45,14.54
2014,0.83,0.29,1.1,1.37,2.11,1.78,0,1.13,3.37,1.32,0.33,0.6,14.23
2015,0.56,1.66,0.93,2.81,5.24,5.22,1.69,0.63,0.09,1.12,1.46,0.87,22.28
2016,0.39,0.47,1.47,2.13,1.95,4.64,2.08,1.18,0.12,0.16,0.26,0.93,15.78
2017,0.39,0.12,1.21,1.1,5.55,0.22,4.93,1.11,1.64,0.35,0.37,0.18,17.17
2018,0.45,0.33,0.3,0.55,0,0.86,4.04,2.54,0.42,1.22,0.39,0.08,11.18
2019,1.4,0.49,0,0,0,4.05,1.98,1.15,1.38,1.32,0.84,0.44,13.05
2020,0.27,1.44,1.49,0.57,0.94,1.88,0.8,0.64,0.61,0.3,0.32,0.55,9.81
