 YR ,MON,TOTAL,CLIMADJUST,ANOM
1985,1,25.39,26.57,-1.17
1985,2,26.04,26.75,-0.71
1985,3,26.5,27.17,-0.67
1985,4,26.65,27.59,-0.93
1985,5,26.91,27.66,-0.75
1985,6,26.81,27.46,-0.65
1985,7,26.55,27.02,-0.47
1985,8,26.29,26.64,-0.35
1985,9,26.02,26.56,-0.55
1985,10,26.23,26.53,-0.3
1985,11,26.33,26.52,-0.2
1985,12,26.19,26.51,-0.32
1986,1,25.89,26.46,-0.56
1986,2,26.06,26.66,-0.6
1986,3,26.88,27.14,-0.26
1986,4,27.49,27.58,-0.08
1986,5,27.41,27.68,-0.27
1986,6,27.42,27.43,-0.01
1986,7,27.18,27.01,0.17
1986,8,27.17,26.66,0.51
1986,9,27.24,26.59,0.65
1986,10,27.51,26.54,0.98
1986,11,27.7,26.5,1.2
1986,12,27.71,26.47,1.24
1987,1,27.68,26.46,1.22
1987,2,27.89,26.66,1.23
1987,3,28.27,27.14,1.13
1987,4,28.4,27.58,0.82
1987,5,28.56,27.68,0.88
1987,6,28.64,27.43,1.21
1987,7,28.58,27.01,1.57
1987,8,28.41,26.66,1.76
1987,9,28.36,26.59,1.77
1987,10,27.95,26.54,1.42
1987,11,27.77,26.5,1.27
1987,12,27.54,26.47,1.07
1988,1,27.45,26.46,0.99
1988,2,27.04,26.66,0.37
1988,3,27.39,27.14,0.25
1988,4,27.38,27.58,-0.19
1988,5,26.68,27.68,-1
1988,6,25.99,27.43,-1.44
1988,7,25.56,27.01,-1.45
1988,8,25.67,26.66,-0.99
1988,9,25.72,26.59,-0.87
1988,10,24.82,26.54,-1.71
1988,11,24.66,26.5,-1.85
1988,12,24.64,26.47,-1.83
1989,1,24.59,26.46,-1.87
1989,2,25.29,26.66,-1.37
1989,3,26.09,27.14,-1.05
1989,4,26.75,27.58,-0.82
1989,5,27.07,27.68,-0.61
1989,6,27.14,27.43,-0.29
1989,7,26.71,27.01,-0.3
1989,8,26.32,26.66,-0.33
1989,9,26.41,26.59,-0.18
1989,10,26.32,26.54,-0.22
1989,11,26.25,26.5,-0.25
1989,12,26.46,26.47,-0.01
1990,1,26.56,26.46,0.11
1990,2,26.98,26.66,0.31
1990,3,27.34,27.14,0.2
1990,4,27.9,27.58,0.33
1990,5,28.02,27.68,0.34
1990,6,27.65,27.43,0.21
1990,7,27.38,27.01,0.37
1990,8,27.07,26.66,0.42
1990,9,26.94,26.59,0.35
1990,10,26.93,26.54,0.4
1990,11,26.81,26.5,0.31
1990,12,26.96,26.47,0.48
1991,1,27.04,26.59,0.45
1991,2,27.08,26.79,0.29
1991,3,27.33,27.28,0.05
1991,4,28.02,27.7,0.32
1991,5,28.2,27.8,0.4
1991,6,28.25,27.6,0.65
1991,7,28.05,27.19,0.86
1991,8,27.53,26.84,0.69
1991,9,27.14,26.78,0.36
1991,10,27.58,26.76,0.82
1991,11,27.89,26.7,1.19
1991,12,28.28,26.66,1.62
1992,1,28.37,26.59,1.78
1992,2,28.53,26.79,1.74
1992,3,28.66,27.28,1.38
1992,4,29.02,27.7,1.32
1992,5,28.97,27.8,1.16
1992,6,28.3,27.6,0.7
1992,7,27.51,27.19,0.33
1992,8,26.91,26.84,0.07
1992,9,26.66,26.78,-0.13
1992,10,26.42,26.76,-0.34
1992,11,26.42,26.7,-0.28
1992,12,26.45,26.66,-0.21
1993,1,26.7,26.59,0.1
1993,2,27.17,26.79,0.38
1993,3,27.68,27.28,0.4
1993,4,28.41,27.7,0.71
1993,5,28.71,27.8,0.91
1993,6,28.08,27.6,0.48
1993,7,27.52,27.19,0.33
1993,8,26.99,26.84,0.15
1993,9,27.07,26.78,0.29
1993,10,26.78,26.76,0.02
1993,11,26.71,26.7,0.01
1993,12,26.76,26.66,0.1
1994,1,26.65,26.59,0.06
1994,2,26.82,26.79,0.03
1994,3,27.39,27.28,0.11
1994,4,28.08,27.7,0.38
1994,5,28.24,27.8,0.43
1994,6,28.04,27.6,0.44
1994,7,27.54,27.19,0.35
1994,8,27.38,26.84,0.54
1994,9,27.19,26.78,0.41
1994,10,27.47,26.76,0.71
1994,11,27.81,26.7,1.11
1994,12,27.85,26.66,1.19
1995,1,27.57,26.59,0.98
1995,2,27.49,26.79,0.71
1995,3,27.76,27.28,0.48
1995,4,28.11,27.7,0.41
1995,5,27.83,27.8,0.02
1995,6,27.59,27.6,-0.01
1995,7,27.08,27.19,-0.11
1995,8,26.23,26.84,-0.61
1995,9,25.88,26.78,-0.9
1995,10,25.84,26.76,-0.92
1995,11,25.61,26.7,-1.1
1995,12,25.66,26.66,-1
1996,1,25.7,26.56,-0.86
1996,2,25.91,26.75,-0.85
1996,3,26.69,27.24,-0.56
1996,4,27.36,27.72,-0.36
